Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
Stability Ball Hip Rotation;Abs;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Start by sitting on an exercise ball with your feet firmly on the floor, sitting up straight and putting your hands on your thighs. 2.) When in position slowly rotate your hips counter-clockwise a few times while keeping your upper body still. 3.) Repeat this movement in the opposite direction for as many times as you would like.
Stability Ball Hip Thrust;Abs;null;Glutes , Upper Legs;Strength;Compound;Exercise Ball;Beginner;Steps : 1.) Start by sitting on an exercise ball and slowly walk your feet out and lay with your back on the ball. 2.) Keeping your shoulders and head on the exercise ball, cross your arms across your chest. 3.) Lift your hips up slowly in a smooth motion, holding for a few seconds then return back to the starting position. 4.) Repeat for as many sets and reps as desired.
Stability Ball Hug;Back;null;null;Stretching;Isolation;Exercise Ball;Beginner;Steps : 1.) Start by sitting on the floor with an exercise ball in between your legs and close to your body. 2.) Hug your arms around the exercise ball as a support for your body during this stretch 3.) Then position your feet so that they are flat on the floor. 4.) Grip tightly against the exercise ball feeling a full stretch in your back and hold for about 15 to 30 seconds. 5.) Repeat for as many reps and however long you desire.
Stability Ball Hundreds;Abs;null;null;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start by laying with your back on the floor and your legs placed on top of an exercise ball, keeping your hands at your sides. 2.) Once in position lift your shoulder blades off of the floor with your hands and then quickly raise your hands up and down using short spurts feeling tension on your abs. 3.) Repeat for as many reps and sets desired.
Stability Ball Incline Ab Crunch;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start off by lying on an exercise ball with your lower back, keeping your legs bent on the floor in front of you, and arms crossed on your chest. 2.) Then take your abs and pull your ribs down towards your hips, squeezing in on your abdominals so that you feel tension and a stretch. 3.) Return back to the starting position and repeat for as many reps and sets as you can perform.
Stability Ball Jack Knife Push-Up;Abs;null;Chest , Shoulders;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Begin by rolling onto an exercise ball until you're in a prone push-up position with your shins positioned on the ball and your hands directly underneath your shoulders. 2.) Then bring your knees towards your chest with the exercise ball. 3.) Hold this position for a count then returning back to the starting position. 4.) On the return of the exercise ball to the starting position, bring your chest down to the floor in a push-up motion. 5.) Return back to the starting position and repeat for as many reps and sets desired.
Stability Ball Knee Tuck;Abs;null;Glutes;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start off by rolling onto an exercise ball and assuming a push up position so that your hands are on the floor and shoulder width apart and the exercise ball is just underneath your knees. 2.) Bring your legs together and slowly roll the ball and your knees to your chest. 3.) Hold this position for a few seconds contracting your ab muscles and return back to the starting position. 4.) Repeat for as many reps and sets desired.
Stability Ball Lat Stretch;Back;null;Abs , Shoulders;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by lying on your side against an exercise ball, feeling tension on your ab muscles and spine. 2.) Take your hand on the elevated part of your body and extend it over your head. 3.) Stretch until you feel a pull and tension in your shoulders and lats. 4.) Hold onto this position for 15 to 30 seconds and repeat with your opposite side.
Stability Ball Lat Stretch;Back;null;Abs , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by kneeling down with one arm upon an exercise ball and the other hand placed upon the floor. 2.) Then, when in place, start to rotate the shoulder and pushing up on your lower back so that a stretch in your back and shoulders is felt. 3.) Hold this position for 15 to 30 seconds and repeat with the other arm.
Stability Ball Leg Lift;Abs;null;null;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Begin by laying down with your back with your legs extended and an exercise ball in between your feet and hands kept at your sides. 2.) Once in position slowly raise your legs up off of the floor and bring the ball up towards the ceiling. 3.) Hold onto this position for a few seconds then return back to the starting position, squeezing your core throughout the entire motion. 4.) Repeat for as many reps and sets as desired.
Stability Ball Low Back Stretch;Back;null;Abs , Glutes;Stretching;Compound;Exercise Ball;Beginner;"Steps : 1.) Begin by lying prone on an exercise ball and putting your arms on the floor next to both sides while your legs rest on the floor behind you. 2.) Get into a relaxed position then wrap your arms around the ball in a ""hugging"" position and feel a stretch along your back. 3.) Hold onto this position for a few seconds and then release back to the start."
Stability Ball Medicine Ball Sit-Up;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start off by lying with the small of your back on an exercise ball with your feet planted firmly on the floor 2.) Holding a medicine ball straight out pointed towards the ceiling. 3.) Still holding the exercise ball in front of you, contract your abdominals up and bring your torso towards the ceiling, elevating the medicine ball up at the same time. 4.) Return back to the starting position and repeat for as many sets and reps as you would like.
Stability Ball Narrow Push-Up;Chest;null;Abs , Triceps;Strength;Compound;Exercise Ball;Expert;Steps : 1.) Begin by rolling into a prone position on an exercise ball until your shins are on the top of the ball and your hands are on firmly on the floor in front of you right under the shoulders. 2.) Position your hands and bring them closer together so that they are just shoulder width apart. 3.) Lower your chest in a pushup position bending at the arms and go down as far as you comfortably can and then slowly raise back up. 4.) Repeat for as many reps and sets as desired.
Stability Ball Neck Extension;Shoulders;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by sitting on an exercise ball, allowing your spine to stretch out and align straight, and keep your feet flat on the floor. 2.) Take your hands and grip the sides of the exercise ball, retract your shoulders and tuck in your chin. 3.) Then roll your head forward until your chin touches your chest and hold for 15 to 30 seconds. 4.) Repeat for as many times as you would like.
Stability Ball Neck Flexion;Shoulders;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Start by sitting on an exercise ball keeping your back straight up and feet flat on the floor. 2.) Take your hands and grip the sides of the exercise ball allowing your shoulders to slide down. 3.) From there slowly roll your head back until you start to feel a stretch. 4.) Hold onto this position for 15 to 30 seconds and repeat for as many times as you would like.
Stability Ball Oblique Curl;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Begin by lying down with the lower part of your back on an exercise ball and your feet planted firmly on the floor. 2.) Take your hands and extend them behind your head, placing your fingertips on your head to hold your chin up. 3.) Then take one of your hands to anchor your body on the ball, curl up your abdominals and squeeze, feeling the tension. 4.) Return back to the starting position and repeat for desired repetitions
Stability Ball One-Arm Bridge;Abs;null;Back , Shoulders;Strength;Isolation;Exercise Ball;Expert;Steps : 1.) Start by rolling onto an exercise ball until your knees are rested upon the top of the ball with your hands in front of you underneath your shoulders as if you were about to perform a pushup. 2.) While keeping your body completely straight slowly elevate one arm out in front of you so that it is in line with your body and hold for a few seconds. 3.) Return back to the starting position and repeat with the opposite arm. 4.) Repeat this exercise for as many reps and sets desired.
Stability Ball Pike Push-Up;Chest;null;Chest;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start off in a pike position with your toes firmly planted on an exercise ball with your hands in a push-up position right in front. 2.) When balanced, slowly do push-ups by lowering your body towards the floor in a pike position. 3.) Return back up to the starting position and repeat for as many reps and sets as desired.
Stability Ball Plank;Abs;null;Back;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start by laying with your forearms placed upon an exercise ball with your fingers interlaced and extending your legs out behind you so that your toes are rested upon the floor. 2.) Keep your body straight out and hold onto this position for as long as possible. 3.) Repeat for as many reps, sets and however long as desired.
Stability Ball Plank with Side Kick;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Begin in a plank position with your forearms resting on an exercise ball and your legs extended out behind you with your toes elevating your body. 2.) Squeeze on your core muscles, then take one of your legs and extended it out to the side and hold for a few seconds. 3.) Return back to the starting position and repeat with the opposite leg. 4.) Repeat this exercise for as many reps and sets desired.
Stability Ball Pull-In;Abs;Lower Abs;null;Strength;Isolation;Exercise Ball;Intermediate;The exercise ball pull-in uses a stability or exercise ball to isolate and work the lower ab muscles. Steps : 1.) Start by lying down as if you were performing a pushup and place your feet and shins over either an exercise or stability ball. 2.) Make sure that you keep your back straight and supporting your weight with your hands, then slowly pull your knees towards your chest in a controlled manner so that the ball rolls forward under your ankles. 3.) Crunch and squeeze your abdominal muscles, hold for a count, then roll the ball back into the starting position. 4.) Repeat for as many reps and sets as desired.
Stability Ball Push-Up;Chest;Lower Chest;Shoulders , Triceps;Strength;Compound;Exercise Ball;Intermediate;The push up with your feet on a stability ball is similar to the standard pushup exercise that forces you to engage the muscles of your core to perform the exercise. Steps : 1.) Start by placing your feet and your shins flat on top of an exercise ball and then positioning your arms in front of you shoulder-width distance apart with your hands under your arms. 2.) Once in position, press up from the ground until your arms are fully extended as this will be your starting position. 3.) Slowly lower your body towards the ground until you feel a stretch in your tricep muscles and hold for a count. 4.) Return back up to the starting position and repeat for as many reps and sets as desired.
Stability Ball Quadricep Stretch;Upper Legs;null;Upper Legs , Lower Legs;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by sitting on an exercise ball and placing your hands upon either side of the ball. 2.) Roll forward slowly so that your upper glutes are barely touching the ball and the middle of your back is in the center of the ball. 3.) While rolling forward straighten out one leg and keep the other one bent, then push the bent leg towards the floor so that you feel a stretch in your quads. 4.) Hold onto this position for 15 to 30 seconds and the repeat with the opposite leg.
Stability Ball Reverse Crunch;Abs;null;Glutes;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Begin by laying on your back with your feet elevated bent at the knees and at a 90-degree angle with your arms down at your side holding an exercise ball between your heels and glutes. 2.) When you have secured the exercise ball in between, press your arms firmly to the floor, lift up through your hips raising your glutes off of the floor. 3.) Hold onto this position squeezing your glutes and abdominals then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Stability Ball Reverse Crunch;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Expert;Steps : 1.) For this exercise you will need a partner or a structure to hold your balance and you in place. 2.) It is important to make sure that you have core abdominal strength before performing this exercise. 3.) Start off by lying with your back in the middle of an exercise ball, grabbing your partner's hand, finding your balance and straightening out your legs. 4.) After finding your balance, curl your legs up towards your chest and squeeze tight with your abdominals. 5.) Return back to the starting position and repeat for as many reps and sets as possible. Tips : 1.) It is important to take this workout/exercise slowly, as it is difficult to maintain and get your balance
Stability Ball Roll Down;Abs;null;null;Strength;Isolation;Exercise Ball;Beginner;Steps : 1.) Start by sitting on the floor with your knees bent and feet planted firmly on the floor, 2.) Hold an exercise ball in between your hands and arms raised over your head. 3.) Once in position slowly roll down onto your back with control, keeping your feet planted on the ground and knees still bent, and the ball resting on the floor above your head. 4.) Slowly, while squeezing your abs, bring the ball back up towards the ceiling and roll back up to the starting position. 5.) Repeat for as many reps and sets as desired.
Stability Ball Rollover;Abs;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Lay down on the floor with your legs extended and an exercise ball between your ankles. 2.) Keep your hands firmly positioned at the sides of your glutes. 3.) Using your abs, slowly bring the exercise ball up and over your body until the ball is resting on the floor above your head. 4.) Hold this position for up to 15 seconds and then return back slowly to the starting position.
Stability Ball Roman Twist;Abs;null;null;Strength;Isolation;Exercise Ball;Beginner;Steps : 1.) Start by laying down on an exercise ball with your middle to upper back rested underneath the top of the ball with your feet planted firmly on the floor and arms extended out straight in front of you towards the ceiling. 2.) As soon as you are in position, slowly rotate your upper body in one direction, keeping your arms in the straight position and lower body still firm. 3.) Once you feel tension on your abs, hold for a few seconds then return back to the starting position and repeat in the opposite direction for as many reps and sets desired.
Stability Ball Shoulder Flexion;Back;null;Abs , Shoulders;Strength;Compound;Exercise Ball;Beginner;Steps : 1.) Start by laying prone on an exercise ball with the ball positioned right under your bell button, keeping your legs straight behind you and arms resting in front of the ball. 2.) After getting your balance, slowly raise one arm high in front of you and hold for a count, then return back to the starting position. 3.) Repeat with the opposite arm and alternate between the two for as many reps and sets as desired.
Stability Ball Side Bend;Abs;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by sitting down on a stability ball keeping your spine straight and your feet planted firmly on the floor, using your left arm as a support for your body. 2.) Then stretch your right arm up and back so that your hand is elevated right above your head. 3.) Lean slowly over to your left with your head towards your left shoulder as far as you can until you feel a stretch. 4.) Hold for 15 to 30 seconds and then repeat with the opposite side.
Stability Ball Side Crunch;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Lay on an exercise ball with the small of your back rested upon the top of the ball. 2.) Begin to roll to one side of the ball until half of your body is on and the other half is off. 3.) After finding your balance, curl your torso up, bringing your belly button in towards your spine and squeeze on your abdominals. 4.) Return back to the starting position and repeat for as many sets and reps as possible.
Stability Ball Side Crunch;Abs;null;Back , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start by lying on your side on an exercise ball next to a wall so that your feet are up against the wall. 2.) Cross your arms at your chest making sure you are leaning on one side and that your arms aren't touching the ball. 3.) While keeping your balance, curl your torso up to the side and squeeze your abdominals 4.) Return back to the starting position and repeat for as many sets and reps as possible, then switch to the opposite side and repeat the same steps.
Stability Ball Side Stretch;Abs;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Start by sitting on a stability ball with your feet planted flat on the floor and your hands rested upon your knees. 2.) Take one hand and bring it overhead to the opposite side of your body while the other hand rests firmly upon your pelvis keeping your lower body in place. 3.) Stretch for as far and comfortably as you can and hold this stretch for a few seconds. 4.) Return back to the starting position and perform the stretch on the opposite side.
Stability Ball Side-Lying Stretch;Abs;null;Back , Glutes;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by lying sideways on an exercise ball with one arm hanging to the floor and the other rested upon your hip. 2.) Begin by lowering your head towards the floor while also pressing your upper shoulder blade down towards your hip. 3.) Hold onto this position for 15 to 30 seconds and repeat with the opposite side.
Stability Ball Single-Leg Bridge;Abs;null;Glutes , Upper Legs;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start off by sitting on an exercise ball and slowly walk your feet out in front of you so that your back is laying on the top of the ball. 2.) Make sure to keep your head and shoulders on the ball, forming a bridge position, keeping one foot on the ground bent at a 90-degree angle and the other extended in the air. 3.) Slowly lift your hips towards the ceiling, with your arms extended out to the sides of you, and hold this position for 15 to 20 seconds. 4.) Return back to the starting position and repeat. 5.) Switch legs and repeat for as many reps and sets as desired.
Stability Ball Single-Leg Crunch;Abs;null;Back , Glutes;Stretching;Compound;Exercise Ball;Intermediate;Steps : 1.) Begin by lying on an exercise ball with the small of your back, crossing your arms across your chest and slowly lifting one leg off of the floor. 2.) As soon as you find your balance, curl your torso up and draw in your belly button towards your spine. 3.) Squeeze with your abdominals and then slowly return back to the starting position repeating for as many reps and sets as possible.
Stability Ball Single-Leg Hamstring Curl;Glutes;null;Abs , Upper Legs;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start by laying flat on your back with both feet on an exercise ball, keeping your arms flat on the floor by your side. 2.) Bend your your knees and curl your heels toward your glutes, then kick up one leg diagonally. 3.) Hold this position for a few seconds then return back to the starting position. 4.) Repeat with the opposite leg for as many reps and sets as desired.
Stability Ball Single-Leg Hip Rotation;Back;null;Glutes , Upper Legs;Stretching;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start by rolling onto an exercise ball so that you are in a pushup position with your shins and ankles are rested right on top of the ball. 2.) Take one leg and bring it off of the ball so that your hip, knee and ankle turn inward towards your pelvis. 3.) Keep your shoulders square and turn your hip so that the twisting leg goes underneath the straight leg. 4.) Return back to the starting position and repeat with the opposite leg for as many reps and sets as desired.
Stability Ball Standing Hamstring Stretch;Upper Legs;null;Back , Upper Legs;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Start by standing in front of an exercise ball with one leg in front of the other, keeping both legs straight. 2.) Lean towards the exercise ball while contracting your abs so that you are placing one hand on either side of the ball. 3.) As soon as you feel a stretch hold the position for 15 to 30 seconds. 4.) Return back to the starting position and repeat stretch with opposite legs.
Stability Ball Stork Stance;Abs;null;Glutes , Upper Legs;Strength;Isolation;Exercise Ball;Expert;Steps : 1.) Start by standing up straight with both arms at your side then raising up one leg with knee slightly bent and holding an exercise ball between your hands. 2.) After gaining your balance, slowly flex forward in your pelvis and extend the bent leg out behind you, keeping your body straight and parallel to the floor. 3.) While extending back with your leg, raise your arms forward with the exercise ball and extend it out in front of your body. 4.) Hold this position for a few seconds and then return back to the start. 5.) Repeat for as many reps as desired.
Stability Ball Straight-Leg Crunch;Abs;null;null;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start off by laying on your back flat on the floor, placing your feet on top of an exercise ball with your legs straightened out. 2.) Place your arms straight at your sides and contracting on your abdominals. 3.) While squeezing lift your shoulder blades off of the floor and reach your arms out towards your feet pausing at the top and hold this position for a few seconds. 4.) Return back to the starting position and repeat for as many reps and sets as desired.
Stability Ball Tricep Extension;Triceps;null;null;Strength;Isolation;Dumbbell;Intermediate;Steps : 1.) Start by laying on your back on an exercise ball with the top of the ball underneath your upper back, your feet firmly on the floor and holding a dumbbell in one hand. 2.) Slowly raise your arm with the dumbbell straight up towards the ceiling and keeping the other arm at your side. 3.) Bend your arm and bring the weight slowly down behind your head feeling a stretch in your tricep and hold for a count. 4.) Then bring the weight back up to the starting position and repeat for as many reps and sets desired.
Stability Ball Tricep Stretch;Triceps;null;null;Stretching;Isolation;Exercise Ball;Beginner;Steps : 1.) Start by sitting on an exercise ball with your back straight and feet firmly on the floor. 2.) Slowly reach up with both of your hands, grasp them together, bring them over your head and touch your upper back feeling a stretch in your triceps. 3.) Hold this position for 15 to 30 seconds and return to the start. 4.) Repeat for as many reps and sets desired.
Stability Ball Trunk Rotation;Abs;Obliques;Back;Stretching;N/A;Exercise Ball;Beginner;Steps : 1.) To begin this exercise: take a stability ball and hold it straight out in front of your chest. 2.) Then twist your upper body side to side, tightening your abdominals when reaching each side. 3.) Repeat this exercise for as many repetitions as needed.
Stability Ball V-Up;Abs;null;null;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start by lying on a mat with your legs extended out towards the ceiling and slightly apart. 2.) Extend your arms above your head with an exercise ball in your hands and in front of your chest. 3.) Squeeze with your abs and reach up with your arms in between your legs and hold this position for a few seconds. 4.) Return back to the starting position and then repeat for the desired number of reps and sets.
Stability Ball Walking Lunge;Abs;null;Glutes , Upper Legs;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start by standing straight up, feet shoulder width apart and holding an exercise ball in front of you. 2.) Lunge forward by placing one foot in front of the other, then twisting your upper body with the exercise ball away from your bent legs. 3.) With your back foot, return back to an upright position then switch sides and lunge forward. 4.) Repeat for as many reps and sets as desired.
Stability Ball Wall Circles;Back;null;Shoulders;Stretching;Compound;Exercise Ball;Beginner;Steps : 1.) Begin by standing up straight up with an exercise ball at chest level against a wall. 2.) Step back from the wall, extend your arm forward and begin moving the exercise ball around in circles using your core.
Stability Ball Wall Squat;Upper Legs;null;Back , Glutes;Strength;Compound;Exercise Ball;Beginner;Steps : 1.) Start by setting up an exercise ball against the wall and leaning your back up against the ball so it is positioned in the middle of your body. 2.) Slowly lower your body towards the ground so that your thighs are parallel with the ground and your upper back and head are rested on the exercise ball. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Stability Ball Weight Plate Pullover;Triceps;Upper Chest;Shoulders;Strength;Isolation;Exercise Ball;Intermediate;The pullover on a stability ball with a weight exercise uses a ball for core stabilization and help strengthen the back and hips. Steps : 1.) Start off grabbing a weight plate and sit on an exercise ball with your feet planted firmly on the floor in front of you. 2.) Lower your body so your upper abs are the only part of your body supported on the ball. 3.) Bring the weight plate to your chest with your arms extend. 4.) In an arcing motion raise the weight plate over and behind your head towards the floor until you start to feel a stretch in your core, back and chest muscles. 5.) Hold the position for a count. 6.) Return to starting position and repeat for as many reps and sets as desired.
Stability Ball Weight Plate Side Bend;Abs;Obliques;Back , Glutes;Strength;Isolation;Exercise Ball;Intermediate;The weighted ball side bend exercise uses an exercise ball instead of a bench and conforms to your body better allowing for correct anatomical range of motion. Steps : 1.) Start off lying one side of your torso, waist and hip against an exercise ball, positioning your feet on the floor or up against a wall for support. 2.) With one hand hold a weight against the side of your head and place your free hand across your chest to steady yourself. 3.) Raise your torso up off the ball by flexing your waist and hold this position for a count. 4.) With controlled movements lower yourself back onto the ball. 5.) Repeat for as many reps and sets as desired.
Stability Ball Weighted Hyperextension;Back;Traps;Upper Legs , Glutes;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) To begin this exercise: start off by lying face down on an exercise ball with your chest pressing up against it. 2.) Take a weight plate and grip it tightly holding it out slightly in front of your chest. 3.) Using your lower back and pelvis, raise your chest up off of the ball and hold tightly for a few seconds as you reach the top position. 4.) Then lower your chest back down towards the ball in the starting position. 5.) Repeat this exercise for as many repetitions as needed.
Stability Ball Weighted Sit-Up;Abs;null;null;Strength;Isolation;Exercise Ball;Intermediate;Steps : 1.) Start by setting up a bench horizontally or something to rest your feet against in front of an exercise ball and then sit down on the ball with a weight plate against your chest. 2.) Then slowly lift the weight above your head and lower yourself down until your shoulder blades start to touch the ball and you feel a stretch in your lower abs. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Stability Ball Weighted Wall Squat;Upper Legs;null;Glutes , Lower Legs;Strength;Compound;Exercise Ball;Intermediate;Steps : 1.) Start by setting up an exercise ball against the wall, leaning your back up against the ball so it is positioned in the middle of your body and holding a dumbbell in each hand. 2.) Slowly lower your body towards the ground so that your thighs are parallel with the ground, so your upper back and head are rested on the exercise ball. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.
Stability Ball Wood Chop;Abs;null;null;Strength;Isolation;Exercise Ball;Beginner;Steps : 1.) Start off standing up straight with your feet shoulder width apart and your knees slightly bent. 2.) Hold an exercise ball in your hands above your head to one side of your body in a motion that you are about to chop wood. 3.) Squeeze on your abdominals and slowly bring the exercise ball down in a diagonal direction, pressing the exercise ball down to your opposite thigh. 4.) Return back to the starting position and finish the rest of your repetitions on that side before switching over to your opposite side and repeating the exercise.
Staff Pose;Abs;null;Back , Upper Legs;Stretching;Compound;Body Only;Beginner;Steps : 1.) Start off by sitting on the floor with your legs straight out in front of you with your back erect. 2.) Take your fingertips and place them on the floor besides your glutes. 3.) Straighten out your knees so the back of your knees are stretched out and keep your arms straight out. 4.) Hold this position for 5 to 10 breaths and return back to the starting position.
Standing Half Moon;Abs;null;Back , Shoulders;Stretching;Compound;Body Only;Beginner;Steps : 1.) Start in a straight standing position with both of your feet together and spine aligned. 2.) Raise your arms over your head and side bend to one side without twisting your hip or your spine. 3.) Hold this position for 5 to 10 breaths and then return back to the starting position and to the opposite side.
Standing Hamstring and Calf Stretch;Upper Legs;null;Lower Legs;Stretching;N/A;Bands;Beginner;Steps : 1.) Begin by taking either a band, rope or belt and wrapping it around one of your feet and place it forward. 2.) Bend your back leg while keeping the front one straight and raise your front toes up off of the floor. 3.) Lean forward with your upper body and then pull on the rope attached to your front foot to increase the stretch in your calf. 4.) Hold this position for 15 to 30 seconds then return back to the starting position. 5.) Repeat with the other foot and repeat this stretch for as many reps, sets and however long you desire.
Standing Opposition Reach;Abs;null;Glutes , Back;Stretching;Compound;Body Only;Intermediate;Steps : 1.) Start by standing up straight with your feet shoulder width apart and your arms at your sides. 2.) Keeping your abs engaged, extend one leg straight out behind you stopping when your hips are fully extended and reach out with your opposite arm at the same time. 3.) Maintain your balance and hold this position for 15 to 30 seconds then return back to the start. 4.) Repeat with the opposite leg and arm for as many reps and sets as desired.
Standing Pelvic Tilt;Back;null;Glutes;Stretching;Isolation;Body Only;Beginner;Steps : 1.) Start by standing up straight with your feet shoulder width apart and then slowly bend through your knees. 2.) Slowly move your pelvis backward, pulling your navel in towards your spine, until you feel a stretch in your lower back. 3.) Repeat for as many reps as you desire.
Star Jump;Upper Legs;null;Glutes , Lower Legs;Strength;Compound;Body Only;Beginner;Steps : 1.) Start by standing up straight in a relaxed stance with your feet shoulder width apart and arms at your sides. 2.) Then squat down halfway with and forcefully push up as high as possible, extending your entire body out and spreading your arms and legs away from your body. 3.) Feel the full extension of your body then land with all of your limbs back in and absorb the landing through your legs. 4.) Repeat for as many reps and sets as desired.
Stationary Bike;Cardio;null;null;Cardio;Isolation;Machine - Cardio;Beginner;The stationary bike exercise utilizes an exercise to burn calories, tone the body, strengthen the legs, increase stamina and endurance as well as balance.
Step Machine;Cardio;null;null;Cardio;Isolation;Machine - Cardio;Beginner;A step machine utilizes the stair master machine or stepping machine to burn calories, tone the body, increase core and lower body strength, and improve endurance and stamina
Straddle Stretch;Upper Legs;null;Lower Legs;Stretching;N/A;Body Only;Beginner;"Steps : 1.) Begin in a seated upright position with your legs extended out in front of you in a ""V"" shape and arms pointed out straight. 2.) Place your hands on the floor and then lean forward as far as possible so that you feel a stretch in your hamstrings. 3.) Hold this position for 15 to 30 seconds then return back to the start. 4.) Repeat for as many reps, sets and however long you desire."
Straight Leg Sit-Up;Abs;null;Back , Lower Legs;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start by laying on the floor with your legs straight out in front of you with one foot on top of the other along with one arm pointed up towards the ceiling and the other hand used to stabilize your head. 2.) Once in position, lift your shoulders off of the floor until you feel a contraction in your abs, hold for a few seconds then return back to the starting position. 3.) Repeat for as many reps and sets desired and then switch with the opposite foot and extended arm. Tips : 1.) Make sure you are squeezing with your abs and not pushing up on your neck
Sun Salutation;Abs;null;Back , Upper Legs;Stretching;Compound;Body Only;Beginner;Steps : 1.) Start by standing up straight with feet shoulder width apart, putting your palms together and grounding yourself through your feet. 2.) Extend your arms skyward and fold your body forward and place your hands on the floor. 3.) Then either step or jump back with both feet into a plank position, creating a straight line with your body from your heels to your shoulders. 4.) Bring your shoulders forward in front of your wrist and lower your body to about 2 inches off of the floor. 5.) Continue to lower your body to the floor and then inhale as you press your hands to the floor and curve up your chest into a Cobra pose. 6.) Tuck your toes and lift your hips up high into a Downward Facing Dog, holding for 5 to 10 breaths and then return back up to the standing position.
Superman;Back;Lower Back;null;Stretching;Compound;Body Only;Beginner;The superman exercise is great for the lower stretching and strengthening back and core muscles. Steps : 1.) Start by lying flat on your stomach with your arms stretched out in front of you. 2.) Slowly raise your arms and legs up off of the floor and hold onto this position for a few seconds until you feel a tight stretch in your core and back muscles. 3.) Return back to the starting position.
Supine Heel Touches;Abs;null;null;Strength;Compound;Body Only;Beginner;Steps : 1.) Begin by laying on your back on the floor, keeping your knees bent, feet grounded and arms by your sides. 2.) Slowly reach down towards your right heel with your right arm as far as possible until you feel a stretch in your right oblique. 3.) Return to the starting position and repeat in the opposite direction. 4.) Repeat for as many reps and sets as desired.
Supine Knee Raise;Abs;null;null;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start by laying with your back flat on the floor, arms at your side and feet extended out straight in front of you. 2.) Slowly lift both knees up off of the floor and pull them towards your chest. 3.) Slowly pull your knees up as high as you can towards your chest until you feel a stretch in your abs 4.) Repeat for as many reps and sets as desired.
Swimming;Cardio;null;null;Cardio;Isolation;Body Only;Beginner;Swimming is a great way to tone your body and improve overall fitness. It focuses upon stamina, endurance, core and full body strength, coordination, and burn fat.
T Bar Prone Row;Back;Traps;Shoulders , Biceps;Strength;Compound;Machine - Strength;Intermediate;Steps : 1.) To begin this exercise: set up a T-Bar Row Machine with the weight required and lay face down upon the pad, grabbing the handles in front of you. 2.) Pull the bar off of the rack as you tighten your back and squeeze as much as you can until you reach the top position holding onto it for a few seconds. 3.) Keep your chest pressed up against the pad the entire exercise. 4.) Return back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.
